id	price	type
H94		Hotel
H95		Hotel
H96		Hotel
H97		Hotel
H98		Hotel
H99		Hotel
postcode	price	type
CC1		Camping
CC2		Camping
CC3		Camping
CC4		Camping
CC5		Camping
CC6		Camping
CC7	1300	Camping
CC8	0	Camping
CC9	0	Camping
CC10	8000	Camping
CC11	4500	Camping
CC12	6000	Camping
CC13		Camping
CC14		Camping
CC15	1200	Camping
CC16	0	Camping
CC17		Camping
CC18		Camping
CC19		Camping
CC20		Camping
CC21		Camping
CC22		Camping
CC23	0	Camping
CC24	0	Camping
CC25	0	Camping
CC26		Camping
CC27		Camping
CC28		Camping
CC29		Camping
CC30		Camping
CC31		Camping
CC32	600	Camping
CC33	0	Camping
CC34		Camping
CC35		Camping
CC36		Camping
CC37	1300	Camping
CC38	0	Camping
CC39	11000	Camping
CC40	12300	Camping
CC41		Camping
CC42		Camping
CC43		Camping
CC44		Camping
CC45		Camping
CC46	1000	Camping
CC47	0	Camping
CC48		Camping
CC49		Camping
CC50		Camping
CC51		Camping
CC52		Camping
CC53		Camping
CC54		Camping
CC55	1450	Camping
CC56	0	Camping
CC57		Camping
CC58		Camping
CC59		Camping
CC60		Camping
CC61		Camping
CC62		Camping
CC63	1300	Camping
CC64	0	Camping
CC65	0	Camping
CC66	11000	Camping
CC67		Camping
CC68		Camping
CC69		Camping
CC70		Camping
CC71	1150	Camping
CC72	0	Camping
CC73		Camping
CC74		Camping
CC75	900	Camping
CC76	0	Camping
CC77	0	Camping
CC78		Camping
CC79		Camping
CC80		Camping
CC81	1100	Camping
CC82	0	Camping
CC83		Camping
CC84		Camping
CC85		Camping
CC86		Camping
CC87		Camping
CC88	1280	Camping
CC89	0	Camping
CC90	18500	Camping
CC91		Camping
CC92		Camping
CC93		Camping
CC94		Camping
CC95		Camping
CC96		Camping
CC97		Camping
CC98	1400	Camping
CC99	0	Camping
		
