Id	city	phone_number	website	service	price	type
CC82	CARANO	0462-341694	www.campeggiocalvello.it		0	Camping
CC83	POZZA DI FASSA	0462-763305	www.catinacciorosengarten .com	Tennis tavolo - ping pong		Camping
CC84	POZZA DI FASSA	0462-763305	www.catinacciorosengarten .com	Baby room attrezzata		Camping
CC85	POZZA DI FASSA	0462-763305	www.catinacciorosengarten .com	Campo tennis		Camping
CC86	POZZA DI FASSA	0462-763305	www.catinacciorosengarten .com	Campo bocce		Camping
CC87	POZZA DI FASSA	0462-763305	www.catinacciorosengarten .com			Camping
CC88	POZZA DI FASSA	0462-763305	www.catinacciorosengarten .com		1280	Camping
CC89	POZZA DI FASSA	0462-763305	www.catinacciorosengarten .com		0	Camping
CC90	POZZA DI FASSA	0462-763305	www.catinacciorosengarten .com		18500	Camping
CC91	POZZA DI FASSA	0462-763305	www.catinacciorosengarten .com			Camping
CC92	TERLAGO	0461-860423	www.laghidilamar.com	Campo basket/volley		Camping
CC93	TERLAGO	0461-860423	www.laghidilamar.com	Tennis tavolo - ping pong		Camping
CC94	TERLAGO	0461-860423	www.laghidilamar.com	Minigolf		Camping
CC95	TERLAGO	0461-860423	www.laghidilamar.com	Biliardo		Camping
CC96	TERLAGO	0461-860423	www.laghidilamar.com	Baby room attrezzata		Camping
CC97	TERLAGO	0461-860423	www.laghidilamar.com			Camping
CC98	TERLAGO	0461-860423	www.laghidilamar.com		1400	Camping
CC99	TERLAGO	0461-860423	www.laghidilamar.com		0	Camping
